,Unemployment,Education
Region 1,11.46185833833704,61.54740083366736
Region 2,14.119408733952893,57.30664380527731
Region 3,12.134428882628022,57.73889539063687
Region 4,12.887748459593357,61.16424558942608
Region 5,15.754997797244735,61.78866466021752
Region 6,14.37652260501504,59.585668219790854
Region 7,13.09964697578482,56.983693420905034
Region 8,19.5896166913137,59.64453575745869
Region 9,11.101792060544321,62.3594326894014
Region 10,12.296561384328971,61.669590838460856
Region 11,11.924196254971815,57.92434024696904
Region 12,12.795595463895943,61.945927067511576
Region 13,15.33818125199332,62.99086850576695
Region 14,11.079609194932624,66.74459250725334
Region 15,19.939135912525256,59.2027232199696
Region 16,16.042491617339422,57.16249908281719
Region 17,20.01900033106215,61.807064981251685
Region 18,18.504946129185665,58.93116709265299
Region 19,20.743711283771226,58.42148334260416
Region 20,19.573131205960276,59.575677156576745
Region 21,16.158186652932027,61.00289666304961
Region 22,15.31451289586317,60.51423374011256
Region 23,20.17555329395483,62.74372426709955
Region 24,20.673125502773974,59.381422907110846
Region 25,14.63217427586724,59.48673963461489
Region 26,14.70804732917438,62.54746724027911
Region 27,15.345517943888765,54.68964790487306
Region 28,11.710863143530059,59.208967096839416
Region 29,11.833939091648935,60.90587265306702
Region 30,9.977685066804264,60.42987766018951
Region 31,21.403958738659295,58.11388638306548
Region 32,10.326495378009778,59.96289839097672
Region 33,19.00741382059681,57.854936331128684
Region 34,19.567390719451986,60.20469536509933
Region 35,12.003937304431403,58.681635395127046
Region 36,19.74097135526111,60.95550819886705
Region 37,11.578501779660117,58.8505815847732
Region 38,11.992619850055426,60.679641928373286
Region 39,13.850207422505642,61.53459367741281
Region 40,12.773140855889249,58.44932778808611
Region 41,16.384015718932677,58.39634431330061
Region 42,13.392325753491903,62.810410611756375
Region 43,12.076894948584572,58.23871836294046
Region 44,15.923162608341952,59.01313503559334
Region 45,15.87358941563538,63.41320990735692
Region 46,11.634460703167457,60.01828869148027
Region 47,18.77712646332469,61.29817346525821
Region 48,14.085309068738722,61.07267206476413
Region 49,19.839062623136936,61.241096431923474
Region 50,19.11448762617115,59.223471202046774
Region 51,20.556121798533965,59.28650994846361
Region 52,15.526448161334695,62.08772122183731
Region 53,22.53916271626933,62.72777304883421
Region 54,14.794133282904495,59.351018084342215
Region 55,21.19072725611364,57.11991710463241
Region 56,11.132853843950446,62.59879362852897
Region 57,13.21707079698011,61.23528169102229
Region 58,15.847401432576639,60.45257653899775
Region 59,10.783145107640761,60.34966602398294
Region 60,13.3251056615142,62.09869478464173
Region 61,19.04550273803858,61.46900212976009
Region 62,13.86957194687947,58.497641150672145
Region 63,21.2683895224039,61.53995471986158
Region 64,20.94053558496201,60.8489724881129
Region 65,20.14586185242831,58.26471782004125
Region 66,19.22821925050674,57.26025788656741
Region 67,19.76040549180619,61.75734709638179
Region 68,20.537960003691996,62.41876394137327
Region 69,20.093765430151947,65.46884431812349
Region 70,14.965470343905192,57.187189465636905
Region 71,12.977180000813073,58.073968747867745
Region 72,19.862728182902185,60.08396012894005
Region 73,20.74034081794774,59.75173522223668
Region 74,20.777049794903608,59.09507553531066
Region 75,19.657858287394617,62.091142336692634
Region 76,19.487034682364378,58.14790676157705
Region 77,20.092478871551098,61.420218480727904
Region 78,13.762937472303229,61.26014987720202
Region 79,11.191063108609638,60.46190744589027
Region 80,20.051360859479637,62.114847017724756
Region 81,13.066198544097738,61.744894315320906
Region 82,16.382004604171943,58.08198380714644
Region 83,19.39609562751547,61.81024391991312
Region 84,15.257207490980107,60.608898239741706
Region 85,15.871913988812393,60.04786362893167
